Sample ID,KWKAPE-1,,KWKAPE-2,,KWKAPE-3,,KWTHAL-1,,MCELBI-2,,MCKAPE-1,,MCKAPE-2,,MCKAPE-3,,MCKAPE-4,,MATHAL-1,,MATHAL-2,,MATHAL-4,,MATHAL-5,,MATHAL-8A,,UTTHAL-1A,,UTTHAL-2A,,UTTHAL-3A,,UTTHAL-4A,,ROGYUN-1A,,EBCHMI-3,,EBVALO-2,,EBVALO-3,,JAEPPO-1,,KWCHSO-1,,UTCHSO-1,,UTEPPO-1,,WOCHSO-2,,WOEPPO-1,,JALUGI-4,,JALUGI-5,,KWLUGI-1,,KWLUGI-2,,KWEPPO-1,,KWEPPO-2,,EBNALI-1,,EBCHMI-2,,MCLUGI-8,,UTEPPO-5,,UTEPPO-7,,WOLUGI-1,,WOEPPO-2,,MALUGI-2,,MALUGI-4,,MANALI-2,,MAEPPO-2,,MACHSO-1,,MACHSO-3,,MAACTR-1,,MAACTR-3,,MAACTR-4,,ROLUGI-3,,ROVALO-5,,ROCHSO-3,,UTNALI-5,,JANALI-1,,JANALI-2,,JANALI-4,,KWLUGI-5,,KWCHSO-5,,EBLUGI-3,,EBLUGI-5,,EBLUGI-6,,EBVALO-1,,MCLUGI-3,,WOLUGI-3,,WOCHSO-6,,MCEPPO-3,,MCEPPO-5,,ROVALO-3,,UTSASP-7,,UTNALI-4,,JAEPPO-4,,EBLUGI-10,,EBNALI-3,,UTCHSO-3,,UTACTR-6,,UTACTR-9,,WOLUGI-2,,WONALI-1,,WONALI-3,,MALUGI-1,,MANALI-4,,MAEPPO-5,,MACHSO-4,,RONALI-1,,RONALI-2,,ROACTR-10,,ROACTR-8,,UTLUGI-1,,UTNALI-1,,WOACTR-1,,JAGYUN-1,,JAGYUN-2,,JATHAL-3,,JATHAL-2,,JATHAL-1,,MCLUGI-2,,JACHMI-2,,KWEPPO-3,,KWNALI-5,,KWNALI-6,,EBPLLA-1,,EBCHMI-1 ,,MCLUGI-5,,WOACTR-1,,JALUGI-6,,JAEPPO-10,,JAACLI-7,,JAACLI-8,,JAACLI-9,,KWCHSO-3,,KWNALI-2,,EBNALI-2,,MCLUGI-9,,UTCHSO-2,,UTACTR-7,,WONALI-6,,WOEPPO-3,,WOCHSO-3,,WOACTR-4,,ROLUGI-1,,ROLUGI-5,,RONALI-10,,ROCHSO-2,,ROCHSO-8,,ROACTR-7,,UTLUGI-2,,JACHMI-6,,JAHILO-2,,MCEPPO-1,,MANALI-1,,MAEPPO-1,,EBLUBO-1,,EBSCRU-1,,MCEPPO-2,,ROEPPO-1,
Species,Katsuwonus pelamis,,Katsuwonus pelamis,,Katsuwonus pelamis,,Thunnus albacares,,Elagatis bipinnulata,,Katsuwonus pelamis,,Katsuwonus pelamis,,Katsuwonus pelamis,,Katsuwonus pelamis,,Thunnus albacares,,Thunnus albacares,,Thunnus albacares,,Thunnus albacares,,Thunnus albacares,,Thunnus albacares,,Thunnus albacares,,Thunnus albacares,,Thunnus albacares,,Gymnosarda unicolor,,Chlorurus microrhinos,,Variola louti,,Variola louti,,Epinephelus polyphekadion,,Chlorurus sordidus,,Chlorurus sordidus,,Epinephelus polyphekadion,,Chlorurus sordidus,,Epinephelus polyphekadion,,Lutjanus gibbus,,Lutjanus gibbus,,Lutjanus gibbus,,Lutjanus gibbus,,Epinephelus polyphekadion,,Epinephelus polyphekadion,,Naso lituratus,,Chlorurus microrhinos,,Lutjanus gibbus,,Epinephelus polyphekadion,,Epinephelus polyphekadion,,Lutjanus gibbus,,Epinephelus polyphekadion,,Lutjanus gibbus,,Lutjanus gibbus,,Naso lituratus,,Epinephelus polyphekadion,,Chlorurus sordidus,,Chlorurus sordidus,,Acanthurus triostegus,,Acanthurus triostegus,,Acanthurus triostegus,,Lutjanus gibbus,,Variola louti,,Chlorurus sordidus,,Naso lituratus,,Naso lituratus,,Naso lituratus,,Naso lituratus,,Lutjanus gibbus,,Chlorurus sordidus,,Lutjanus gibbus,,Lutjanus gibbus,,Lutjanus gibbus,,Variola louti,,Lutjanus gibbus,,Lutjanus gibbus,,Chlorurus sordidus,,Epinephelus polyphekadion,,Epinephelus polyphekadion,,Variola louti,,Sargocentron spiniferum,,Naso lituratus,,Epinephelus polyphekadion,,Lutjanus gibbus,,Naso lituratus,,Chlorurus sordidus,,Acanthurus triostegus,,Acanthurus triostegus,,Lutjanus gibbus,,Naso lituratus,,Naso lituratus,,Lutjanus gibbus,,#N/A,,Epinephelus polyphekadion,,Chlorurus sordidus,,Naso lituratus,,Naso lituratus,,Acanthurus triostegus,,Acanthurus triostegus,,Lutjanus gibbus,,Naso lituratus,,Acanthurus triostegus,,Gymnosarda unicolor,,Gymnosarda unicolor,,Thunnus albacares,,Thunnus albacares,,Thunnus albacares,,Lutjanus gibbus,,Chlorurus microrhinos,,Epinephelus polyphekadion,,Naso lituratus,,Naso lituratus,,Plectropomus laevis,,Chlorurus microrhinos,,Lutjanus gibbus,,Acanthurus triostegus,,Lutjanus gibbus,,Epinephelus polyphekadion,,Acanthurus lineatus,,Acanthurus lineatus,,Acanthurus lineatus,,Chlorurus sordidus,,Naso lituratus,,Naso lituratus,,Lutjanus gibbus,,Chlorurus sordidus,,Acanthurus triostegus,,Naso lituratus,,Epinephelus polyphekadion,,Chlorurus sordidus,,Acanthurus triostegus,,Lutjanus gibbus,,Lutjanus gibbus,,Naso lituratus,,Chlorurus sordidus,,Chlorurus sordidus,,Acanthurus triostegus,,Lutjanus gibbus,,Chlorurus microrhinos,,Hipposcarus longiceps,,Epinephelus polyphekadion,,Naso lituratus,,Epinephelus polyphekadion,,Lutjanus bohar,,Scarus rubroviolaceus,,Epinephelus polyphekadion,,Epinephelus polyphekadion,
PCB 1,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U
PCB 2,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U
PCB 3,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0.73, ,0,U,0,U,0,U,0,U,0.85, ,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U
PCB 4/10,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,1.28, ,2.16, ,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U
PCB 7/9,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U
PCB 6,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U
PCB 8/5,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U
PCB 14,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U
PCB 11,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,1.47, ,2.52, ,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U
PCB 12,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U
PCB 13,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U
PCB 15,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0.76, ,0,U,0,U,0,U,0,U,14.83, ,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U
PCB 19,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U
PCB 30,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U
PCB 18,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U
PCB 17,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U,0,U
