Species,Trophic Group,Species.Ab
Acanthurus lineatus,Herbivore,A. lineatus
Acanthurus triostegus,Herbivore,A. triostegus
Chlorurus microrhinos,Detritivore,C. microrhinos
Chlorurus sordidus,Detritivore,C. sordidus
Elagatis bipinnulata,Pelagic,E. bipinnulata
Epinephelus polyphekadion,Carnivore,E. polyphekadion
Gymnosarda unicolor,Pelagic,G. unicolor
Hipposcarus longiceps,Detritivore,H. longiceps
Katsuwonus pelamis,Pelagic,K. pelamis
Lutjanus bohar,Carnivore,L. bohar
Lutjanus gibbus,Benthic Invertivore,L. gibbus
Naso lituratus,Herbivore,N. lituratus
Plectropomus laevis,Carnivore,P. laevis
Sargocentron spiniferum,Benthic Invertivore,S. spiniferum
Thunnus albacares,Pelagic,T. albacares
Variola louti,Carnivore,V. louti